frame_index,RightUpperLeg_orientation_w,RightUpperLeg_orientation_x,RightUpperLeg_orientation_y,RightUpperLeg_orientation_z,RightLowerLeg_orientation_w,RightLowerLeg_orientation_x,RightLowerLeg_orientation_y,RightLowerLeg_orientation_z,RightUpperLeg_angularVelocity_x,RightUpperLeg_angularVelocity_y,RightUpperLeg_angularVelocity_z,RightLowerLeg_angularVelocity_x,RightLowerLeg_angularVelocity_y,RightLowerLeg_angularVelocity_z,RightUpperLeg_acceleration_x,RightUpperLeg_acceleration_y,RightUpperLeg_acceleration_z,RightLowerLeg_acceleration_x,RightLowerLeg_acceleration_y,RightLowerLeg_acceleration_z
27,0.629223,-0.094281,0.069611,0.768338,0.654670,-0.025328,0.017352,0.755291,0.009176,-0.008552,-0.088443,-0.009854,-0.000347,0.005213,1.266314,-0.464614,0.128153,0.063233,0.031541,-0.019488
28,0.629120,-0.094296,0.069536,0.768427,0.654792,-0.025256,0.017436,0.755185,0.010734,0.008367,-0.060639,-0.007889,-0.000359,0.009061,1.152027,-0.474672,0.147046,-0.042859,-0.058779,-0.072402
29,0.629020,-0.094306,0.069466,0.768514,0.654909,-0.025189,0.017517,0.755085,0.011997,0.024264,-0.020605,-0.009264,-0.000108,0.007692,0.900969,-0.626516,0.143773,-0.013092,0.115892,-0.001078
30,0.628923,-0.094312,0.069400,0.768599,0.655020,-0.025125,0.017595,0.754988,0.006467,0.030558,0.006085,-0.006996,-0.000043,0.010085,0.177066,-0.003473,-0.012948,-0.070433,-0.020890,-0.061428
31,0.628830,-0.094313,0.069338,0.768681,0.655127,-0.025064,0.017670,0.754896,0.005613,0.023830,-0.010700,-0.006713,-0.001415,0.007723,-0.353402,0.283463,-0.140771,0.018897,0.026801,0.032087
32,0.628741,-0.094311,0.069278,0.768760,0.655229,-0.025006,0.017743,0.754807,0.002974,0.006059,-0.045135,-0.007150,0.000338,0.009071,-1.007773,0.614344,-0.285661,-0.042239,0.119293,-0.043157
33,0.628655,-0.094306,0.069220,0.768835,0.655328,-0.024950,0.017814,0.754722,0.003497,-0.007116,-0.072146,-0.007083,-0.004419,0.005668,-0.641452,0.292002,-0.211910,-0.175285,0.055420,0.059999
34,0.628575,-0.094298,0.069163,0.768907,0.655423,-0.024896,0.017882,0.754640,0.004626,-0.006580,-0.072339,-0.008490,-0.002324,0.006288,0.150591,-0.123625,-0.099602,0.082563,0.068381,-0.016957
35,0.628500,-0.094287,0.069106,0.768975,0.655515,-0.024843,0.017948,0.754560,0.004706,-0.002993,-0.050243,-0.009079,-0.004200,0.005381,0.208376,-0.274691,0.032722,-0.043409,0.030744,0.044432
36,0.628430,-0.094275,0.069049,0.769039,0.655604,-0.024792,0.018012,0.754482,0.006253,0.003497,-0.030585,-0.007982,-0.004590,0.006214,0.347465,-0.443801,0.050542,-0.076891,0.007561,-0.000129
37,0.628366,-0.094262,0.068991,0.769098,0.655692,-0.024741,0.018074,0.754407,0.006669,0.004121,-0.026373,-0.006053,-0.004430,0.006473,0.182395,-0.146472,0.010023,0.016517,-0.045603,-0.024888
38,0.628308,-0.094247,0.068931,0.769152,0.655777,-0.024690,0.018135,0.754333,0.004838,-0.003823,-0.041079,-0.007295,-0.004787,0.006789,-0.387547,0.207448,-0.151861,-0.077157,0.085063,0.007755
39,0.628257,-0.094233,0.068868,0.769201,0.655862,-0.024639,0.018194,0.754260,0.005477,-0.006991,-0.056648,-0.007615,-0.004948,0.008671,-0.037318,0.117117,-0.084687,-0.064483,0.057794,0.004321
40,0.628213,-0.094216,0.068804,0.769245,0.655943,-0.024587,0.018250,0.754189,0.010786,-0.003083,-0.057105,-0.007634,-0.006395,0.008232,0.396082,-0.462008,0.051100,-0.064941,0.069246,-0.002166
41,0.628176,-0.094196,0.068739,0.769283,0.656022,-0.024537,0.018305,0.754121,0.014313,0.006886,-0.050419,-0.006751,-0.004437,0.009972,0.636791,-0.377645,0.119644,0.108426,0.071763,-0.022590
42,0.628145,-0.094174,0.068674,0.769317,0.656097,-0.024487,0.018356,0.754056,0.016923,0.020045,-0.037205,-0.005921,-0.003252,0.007752,0.879940,-0.383972,0.200653,-0.021639,0.094025,-0.056354
43,0.628120,-0.094149,0.068608,0.769346,0.656169,-0.024437,0.018406,0.753994,0.015225,0.023355,-0.031778,-0.005709,-0.003747,0.005371,0.247282,0.026900,-0.027433,-0.014084,0.134686,-0.001815
44,0.628101,-0.094123,0.068542,0.769371,0.656238,-0.024389,0.018453,0.753934,0.014107,0.017271,-0.032774,-0.005625,-0.003479,0.003457,-0.312327,0.077630,-0.151942,-0.011918,0.061187,-0.007021
45,0.628087,-0.094095,0.068476,0.769392,0.656305,-0.024342,0.018499,0.753876,0.010112,0.009204,-0.040378,-0.004016,-0.003786,0.000933,-0.442869,0.379295,-0.259893,-0.072115,0.066439,-0.055593
46,0.628077,-0.094067,0.068409,0.769409,0.656371,-0.024296,0.018543,0.753819,0.010935,0.002267,-0.051160,-0.007101,-0.004894,-0.001248,-0.336425,0.119693,-0.147837,-0.007664,0.193887,-0.000581
47,0.628072,-0.094038,0.068342,0.769423,0.656434,-0.024252,0.018586,0.753764,0.009055,-0.006514,-0.061566,-0.007006,-0.003943,0.003334,-0.540599,0.277208,-0.182721,-0.054508,0.107262,-0.044766
48,0.628070,-0.094009,0.068275,0.769434,0.656497,-0.024209,0.018628,0.753710,0.008627,-0.013290,-0.070722,-0.009519,-0.005188,0.002674,-0.387476,0.212488,-0.155884,-0.082897,0.201940,0.018390
49,0.628072,-0.093981,0.068207,0.769442,0.656559,-0.024168,0.018670,0.753656,0.011796,-0.018353,-0.070600,-0.006672,-0.004961,0.007554,-0.318572,-0.102624,-0.115750,-0.013046,0.036091,-0.005024
