frame_index,RightUpperLeg_orientation_w,RightUpperLeg_orientation_x,RightUpperLeg_orientation_y,RightUpperLeg_orientation_z,RightLowerLeg_orientation_w,RightLowerLeg_orientation_x,RightLowerLeg_orientation_y,RightLowerLeg_orientation_z,RightUpperLeg_angularVelocity_x,RightUpperLeg_angularVelocity_y,RightUpperLeg_angularVelocity_z,RightLowerLeg_angularVelocity_x,RightLowerLeg_angularVelocity_y,RightLowerLeg_angularVelocity_z,RightUpperLeg_acceleration_x,RightUpperLeg_acceleration_y,RightUpperLeg_acceleration_z,RightLowerLeg_acceleration_x,RightLowerLeg_acceleration_y,RightLowerLeg_acceleration_z
3292,0.948202,0.047888,0.075478,0.304832,0.940835,0.036048,0.108932,0.318849,-1.828406,1.432457,-1.159337,-0.640225,0.763620,-0.641098,-8.422785,14.942009,0.819526,-2.811949,-1.599636,0.373054
3293,0.948036,0.045878,0.079099,0.304741,0.941070,0.035273,0.110255,0.317783,-2.047639,1.328977,-1.523124,-0.629364,0.753122,-0.598234,-5.316593,12.234900,0.510507,-3.124037,-1.547878,0.457273
3294,0.947994,0.043770,0.082768,0.304206,0.941309,0.034513,0.111535,0.316711,-2.263158,1.366551,-1.601761,-0.618725,0.746473,-0.527834,4.549843,15.064293,-3.167645,-2.953616,-1.615559,0.495812
3295,0.948047,0.041574,0.086470,0.303316,0.941549,0.033771,0.112772,0.315637,-1.930719,1.566932,-1.339184,-0.599209,0.736769,-0.466541,15.726881,-20.412488,-4.597552,-2.713783,-1.653335,0.524369
3296,0.948167,0.039305,0.090194,0.302158,0.941790,0.033050,0.113967,0.314564,-1.881279,1.557719,-0.475320,-0.584183,0.717528,-0.419199,0.752359,4.730864,-2.169894,-2.479940,-1.398793,0.517330
3297,0.948324,0.036975,0.093924,0.300821,0.942030,0.032351,0.115120,0.313497,-2.037973,1.431852,0.210451,-0.559430,0.702660,-0.375134,-7.821854,17.910619,-0.920861,-2.039508,-1.560915,0.563813
3298,0.948489,0.034596,0.097647,0.299394,0.942268,0.031677,0.116231,0.312440,-1.948162,1.391822,0.310272,-0.546473,0.680837,-0.358197,-1.630257,-4.774754,-1.562069,-2.015520,-1.211761,0.464346
3299,0.948636,0.032182,0.101351,0.297964,0.942502,0.031030,0.117300,0.311397,-1.778972,1.407825,0.387392,-0.541164,0.654019,-0.345157,1.925411,-10.817588,-2.235350,-1.940834,-0.992334,0.307177
3300,0.948737,0.029745,0.105020,0.296622,0.942732,0.030413,0.118327,0.310372,-1.583758,1.381712,0.632939,-0.528455,0.621002,-0.338328,-1.875227,-11.310366,-1.784625,-2.023449,-1.295392,-0.044167
3301,0.948766,0.027297,0.108643,0.295455,0.942956,0.029829,0.119313,0.309369,-1.421028,1.300771,0.874009,-0.516629,0.584158,-0.344475,-6.341318,-9.430039,-1.465199,-2.020478,-1.283818,-0.147426
3302,0.948699,0.024852,0.112206,0.294555,0.943173,0.029278,0.120257,0.308392,-1.404443,1.225663,0.951505,-0.502456,0.551503,-0.350366,-5.596184,-1.243959,-2.139878,-1.925246,-1.632509,-0.270716
3303,0.948510,0.022422,0.115696,0.294009,0.943383,0.028764,0.121159,0.307445,-1.425739,1.140648,0.946467,-0.488880,0.516027,-0.351810,-6.093800,0.765033,-2.009579,-2.120228,-1.742925,-0.380408
3304,0.948198,0.019952,0.119130,0.293821,0.943579,0.028314,0.121994,0.306552,-1.409231,1.027483,0.980163,-0.473681,0.484926,-0.339749,-7.994149,-1.261906,-0.970266,-2.048664,-1.923373,-0.420318
3305,0.947791,0.017390,0.122534,0.293896,0.943761,0.027941,0.122744,0.305726,-1.403935,0.919725,1.098590,-0.454755,0.454755,-0.324184,-8.320776,0.339476,-0.192084,-2.282650,-2.149237,-0.272526
3306,0.947307,0.014760,0.125907,0.294174,0.943932,0.027630,0.123424,0.304950,-1.411615,0.862932,1.135609,-0.438707,0.421389,-0.301812,-4.456739,-0.265824,0.112941,-2.684098,-2.107328,-0.034353
3307,0.946763,0.012085,0.129248,0.294598,0.944098,0.027364,0.124048,0.304208,-1.474475,0.846549,1.040215,-0.427663,0.394614,-0.289791,-1.098132,1.361541,-0.389461,-2.975045,-1.927618,0.150946
3308,0.946177,0.009387,0.132554,0.295111,0.944261,0.027128,0.124631,0.303485,-1.647656,0.885261,0.958429,-0.415406,0.366547,-0.288348,1.711425,8.478052,-1.734772,-3.513908,-1.971539,0.386481
3309,0.945566,0.006690,0.135826,0.295653,0.944425,0.026906,0.125186,0.302765,-1.704689,0.954954,1.088057,-0.414257,0.348908,-0.295454,1.239997,3.111044,-1.158171,-3.657340,-1.696631,0.435642
3310,0.944950,0.004016,0.139062,0.296168,0.944594,0.026682,0.125729,0.302032,-1.793250,1.037243,1.087533,-0.420330,0.343507,-0.316144,3.383699,2.385358,-1.363057,-2.926216,-1.209134,0.401018
3311,0.944346,0.001388,0.142261,0.296598,0.944771,0.026440,0.126273,0.301269,-2.191289,0.984203,0.431543,-0.426570,0.356891,-0.311824,0.578915,13.708254,-2.624234,-1.755227,-0.671566,0.064241
3312,0.943774,-0.001172,0.145422,0.296886,0.944961,0.026164,0.126832,0.300462,-2.555914,0.949551,-0.336252,-0.424068,0.380691,-0.314556,2.902699,10.758408,-3.148093,-1.067147,-0.601837,-0.111587
3313,0.943254,-0.003640,0.148543,0.296974,0.945166,0.025837,0.127422,0.299595,-2.597582,0.934028,-0.539721,-0.426202,0.392222,-0.332054,-1.557137,-2.742512,-0.596259,-0.961593,-0.193006,-0.205241
3314,0.942805,-0.005993,0.151625,0.296804,0.945390,0.025445,0.128056,0.298650,-2.412741,0.924732,-0.481264,-0.440841,0.389968,-0.357152,-3.839779,-14.418957,1.491351,-0.850159,0.474075,-0.305242
3315,0.942447,-0.008209,0.154666,0.296320,0.945636,0.024970,0.128749,0.297613,-2.246804,0.844006,-0.397736,-0.441568,0.367203,-0.402248,-9.481229,-12.968988,2.321432,-0.970419,0.567728,-0.071269
3316,0.942152,-0.010275,0.157658,0.295614,0.945909,0.024429,0.129474,0.296472,-2.137190,0.779864,-0.416897,-0.451884,0.343167,-0.457828,-7.246829,-10.684008,1.265122,-0.652138,1.220097,-0.017931
3317,0.941885,-0.012208,0.160599,0.294809,0.946210,0.023849,0.130199,0.295238,-1.941795,0.763964,-0.394120,-0.467828,0.322858,-0.524268,-4.769655,-15.473994,1.822668,-0.317375,1.857556,-0.115286
3318,0.941649,-0.014029,0.163493,0.293890,0.946533,0.023231,0.130930,0.293927,-1.716178,0.796017,-0.267127,-0.485271,0.311599,-0.590844,-2.826349,-15.787708,1.358501,0.203608,2.100799,-0.319888
3319,0.941447,-0.015760,0.166345,0.292844,0.946871,0.022577,0.131672,0.292555,-1.528368,0.798586,-0.197936,-0.489798,0.316056,-0.646973,-3.223489,-13.632511,0.674169,0.880511,1.818330,-0.621837
3320,0.941285,-0.017422,0.169159,0.291658,0.947219,0.021889,0.132429,0.291137,-1.353662,0.843637,-0.164221,-0.491286,0.319079,-0.673228,1.045909,-13.132601,0.195862,0.796834,1.863860,-0.762379
3321,0.941164,-0.019036,0.171941,0.290318,0.947570,0.021168,0.133206,0.289689,-1.147488,0.840364,-0.234574,-0.496566,0.330118,-0.681506,0.202338,-16.271655,1.523488,1.121930,1.999730,-0.903556
3322,0.941087,-0.020624,0.174694,0.288810,0.947919,0.020417,0.134009,0.288227,-0.965974,0.846737,-0.343331,-0.514748,0.354792,-0.677594,2.088793,-14.743381,1.366079,1.565998,2.267792,-0.970510
3323,0.941058,-0.022207,0.177424,0.287120,0.948260,0.019637,0.134842,0.286767,-0.815902,0.797242,-0.520036,-0.520817,0.377866,-0.657320,0.087404,-12.876284,1.974709,1.582463,1.928652,-0.950981
3324,0.941077,-0.023806,0.180135,0.285233,0.948587,0.018829,0.135710,0.285326,-0.708898,0.784595,-0.635832,-0.507544,0.399075,-0.630233,1.525924,-8.605949,0.615279,1.537339,1.289176,-1.005227
3325,0.941148,-0.025444,0.182831,0.283137,0.948895,0.017996,0.136619,0.283918,-0.676334,0.787359,-0.733105,-0.510413,0.420982,-0.584210,2.215293,-3.111246,-0.811122,1.621014,1.780005,-0.916637
3326,0.941270,-0.027140,0.185516,0.280815,0.949179,0.017139,0.137573,0.282560,-0.833472,0.801880,-0.927998,-0.499986,0.443991,-0.540091,4.358170,7.233929,-5.472705,1.791208,1.250393,-0.893717
3327,0.941446,-0.028918,0.188196,0.278255,0.949432,0.016260,0.138578,0.281267,-1.202361,0.841918,-1.354200,-0.511396,0.471353,-0.496513,11.374030,16.036039,-13.283718,2.063555,1.854640,-0.999359
3328,0.941708,-0.030743,0.190879,0.275329,0.949662,0.015345,0.139611,0.280028,-1.479266,0.919277,-1.748949,-0.533853,0.502228,-0.453060,13.104104,10.323160,-13.696792,2.610652,1.860252,-1.046698
3329,0.942073,-0.032572,0.193569,0.271971,0.949880,0.014384,0.140653,0.278815,-1.462432,1.030585,-1.886440,-0.570922,0.537897,-0.420153,9.425975,-3.068794,-7.837305,3.272335,2.139821,-1.175159
3330,0.942517,-0.034410,0.196254,0.268258,0.950085,0.013383,0.141712,0.277627,-1.342452,1.098180,-2.101548,-0.593958,0.557789,-0.401188,9.166576,-10.392140,-1.929633,3.311450,1.735281,-1.371755
3331,0.943015,-0.036259,0.198925,0.264266,0.950277,0.012348,0.142798,0.276459,-1.453049,0.948081,-2.287601,-0.598697,0.567348,-0.393139,-3.652143,5.860305,0.213959,3.354922,1.041216,-1.300777
3332,0.943545,-0.038123,0.201573,0.260074,0.950455,0.011285,0.143919,0.275309,-1.573350,0.768919,-2.416054,-0.614388,0.570317,-0.408651,-6.128018,8.717980,2.463598,3.569272,1.451666,-1.279017
3333,0.944084,-0.040007,0.204189,0.255759,0.950618,0.010202,0.145084,0.274174,-1.650292,0.642952,-2.468609,-0.626873,0.575362,-0.422855,-4.170010,8.469409,2.384446,3.723565,1.185984,-1.286592
3334,0.944611,-0.041915,0.206764,0.251398,0.950766,0.009105,0.146302,0.273051,-1.803376,0.624206,-2.371435,-0.644483,0.582223,-0.437412,-0.793090,16.897690,-1.898553,3.767059,1.404269,-1.086291
3335,0.945109,-0.043851,0.209289,0.247072,0.950898,0.007998,0.147582,0.271936,-1.813359,0.636429,-1.998972,-0.661663,0.591384,-0.461784,-5.540758,13.953563,0.438036,3.775155,1.378625,-0.839302
3336,0.945558,-0.045819,0.211756,0.242857,0.951012,0.006890,0.148932,0.270827,-1.717914,0.728533,-1.436950,-0.681991,0.609023,-0.478753,-4.599267,11.215624,0.879419,3.963467,1.619620,-0.767365
3337,0.945943,-0.047823,0.214157,0.238835,0.951109,0.005787,0.150362,0.269720,-1.745388,0.789788,-0.943321,-0.702535,0.636258,-0.480923,-3.744260,17.125350,-2.111618,4.242819,1.794205,-0.601743
3338,0.946247,-0.049868,0.216485,0.235084,0.951188,0.004694,0.151880,0.268612,-1.850748,0.797642,-0.651389,-0.708267,0.662754,-0.491893,-1.624034,17.221774,-3.375832,4.111676,1.444916,-0.545433
3339,0.946456,-0.051957,0.218731,0.231684,0.951246,0.003618,0.153496,0.267501,-1.908160,0.778298,-0.566274,-0.699174,0.681079,-0.497630,1.796918,9.017827,-2.577020,3.885714,1.352337,-0.624410
3340,0.946579,-0.054123,0.220911,0.228596,0.951295,0.002572,0.155201,0.266352,-1.990771,0.732484,-0.653158,-0.704731,0.701018,-0.486843,5.554067,5.971313,-3.557331,3.910171,2.045270,-0.602805
3341,0.946640,-0.056380,0.223043,0.225712,0.951341,0.001560,0.156981,0.265150,-2.077570,0.689958,-0.724427,-0.725670,0.730937,-0.474169,5.549313,5.784489,-4.152767,4.363371,2.704187,-0.589807
3342,0.946648,-0.058709,0.225124,0.223001,0.951379,0.000568,0.158834,0.263913,-2.118541,0.644869,-0.789875,-0.745222,0.758672,-0.466832,5.159248,2.523883,-3.006705,4.629152,2.859626,-0.640718
3343,0.946614,-0.061091,0.227153,0.220436,0.951402,-0.000414,0.160760,0.262661,-2.101392,0.574516,-0.846458,-0.770782,0.789150,-0.448262,3.274079,-0.905989,-0.493850,5.159331,3.361331,-0.652320
3344,0.946546,-0.063505,0.229127,0.217988,0.951405,-0.001399,0.162755,0.261413,-2.023778,0.482744,-0.887751,-0.790486,0.825882,-0.423179,1.223108,-4.033816,2.412744,5.848185,3.451012,-0.881642
3345,0.946455,-0.065931,0.231043,0.215628,0.951383,-0.002396,0.164819,0.260190,-1.931979,0.393516,-0.946499,-0.808887,0.871892,-0.393293,1.550297,-4.995859,3.481898,6.525609,3.773597,-1.386138
3346,0.946349,-0.068351,0.232900,0.213328,0.951330,-0.003419,0.166950,0.259011,-1.839760,0.320895,-0.995091,-0.825899,0.918240,-0.366695,1.612299,-4.293565,3.446361,6.874459,3.804146,-1.911067
3347,0.946239,-0.070743,0.234696,0.211058,0.951241,-0.004478,0.169145,0.257896,-1.737017,0.268401,-1.009914,-0.844102,0.965202,-0.331892,1.215804,-3.451543,3.455761,7.038635,4.074557,-2.341117
3348,0.946133,-0.073089,0.236427,0.208790,0.951110,-0.005584,0.171404,0.256864,-1.646703,0.250643,-0.975497,-0.853830,1.013367,-0.285069,1.326567,-0.905128,2.105656,7.266839,4.077285,-2.694234
3349,0.946040,-0.075368,0.238092,0.206495,0.950932,-0.006750,0.173724,0.255936,-1.571993,0.273664,-0.904864,-0.855712,1.057863,-0.232315,2.356430,1.504066,0.310110,7.107885,4.241260,-2.916752
3350,0.945970,-0.077560,0.239689,0.204144,0.950701,-0.007987,0.176105,0.255130,-1.510590,0.321253,-0.822918,-0.857052,1.109108,-0.171170,3.533549,3.192477,-0.960655,7.238251,4.578991,-2.870776
3351,0.945931,-0.079647,0.241214,0.201709,0.950412,-0.009306,0.178543,0.254466,-1.461812,0.367669,-0.748137,-0.865070,1.165420,-0.106744,3.691476,4.283330,-1.484158,7.443598,4.857493,-2.625905
3352,0.945919,-0.081651,0.242684,0.199187,0.950056,-0.010690,0.181029,0.253982,-1.419907,0.401226,-0.708889,-0.879016,1.219633,-0.030440,4.542376,4.448362,-1.458520,7.503690,5.032937,-2.350645
3353,0.945920,-0.083608,0.244110,0.196609,0.949635,-0.012118,0.183556,0.253681,-1.369109,0.425007,-0.705749,-0.892470,1.275992,0.046586,5.533228,3.468410,-0.887983,7.742760,5.010804,-2.105272
3354,0.945933,-0.085519,0.245488,0.193995,0.949154,-0.013591,0.186133,0.253530,-1.356776,0.433256,-0.738516,-0.902056,1.336139,0.118442,6.206523,5.016157,-1.774456,8.147181,4.923550,-1.994521
3355,0.945955,-0.087383,0.246808,0.191363,0.948620,-0.015110,0.188764,0.253494,-1.369812,0.416586,-0.841421,-0.913000,1.391175,0.181841,7.478566,4.951001,-2.022581,8.286918,4.842875,-1.869663
3356,0.945984,-0.089201,0.248065,0.188735,0.948042,-0.016676,0.191459,0.253540,-1.416306,0.383472,-0.984373,-0.925011,1.448915,0.230539,8.301302,5.977970,-2.904189,8.634056,4.665649,-1.936370
3357,0.946020,-0.090971,0.249252,0.186129,0.947424,-0.018292,0.194222,0.253635,-1.493455,0.367765,-1.097093,-0.932661,1.500216,0.268759,8.316566,8.390516,-4.471433,8.777860,4.478898,-1.951850
3358,0.946060,-0.092695,0.250363,0.183565,0.946774,-0.019958,0.197061,0.253746,-1.584524,0.365711,-1.181360,-0.939420,1.555464,0.302859,8.190542,10.040678,-5.543350,9.222302,4.570169,-2.019290
3359,0.946104,-0.094372,0.251390,0.181063,0.946099,-0.021677,0.199983,0.253839,-1.660328,0.390597,-1.231434,-0.963456,1.609804,0.328895,8.623775,10.111356,-5.891969,9.454590,4.923673,-2.117404
3360,0.946151,-0.096003,0.252327,0.178644,0.945404,-0.023449,0.202995,0.253880,-1.710909,0.433306,-1.238598,-1.003158,1.658849,0.341874,8.249363,9.686443,-5.451972,9.664925,5.216010,-2.230143
3361,0.946199,-0.097586,0.253168,0.176325,0.944696,-0.025276,0.206103,0.253837,-1.752247,0.478693,-1.208278,-1.040096,1.714663,0.350315,7.122790,9.998725,-5.132670,10.239448,5.038994,-2.565322
3362,0.946248,-0.099123,0.253906,0.174129,0.943981,-0.027160,0.209314,0.253674,-1.785078,0.508418,-1.149906,-1.078457,1.774401,0.349817,5.665880,10.139443,-4.253768,10.516961,5.177268,-3.086616
3363,0.946298,-0.100612,0.254535,0.172074,0.943265,-0.029102,0.212634,0.253359,-1.809385,0.529011,-1.074613,-1.117190,1.835132,0.344905,4.786658,9.793346,-3.718929,10.828543,5.134121,-3.506356
3364,0.946345,-0.102063,0.255083,0.170139,0.942517,-0.031067,0.216040,0.253030,-1.778268,0.549827,-0.968454,-1.150620,1.890990,0.331276,3.771957,7.666948,-1.802863,10.799882,4.971941,-3.835399
3365,0.946388,-0.103480,0.255577,0.168291,0.941707,-0.033031,0.219511,0.252809,-1.670488,0.580411,-0.870115,-1.192676,1.946628,0.303195,4.549378,3.535547,0.439988,11.021577,5.233326,-4.079851
3366,0.946433,-0.104859,0.256005,0.166527,0.940847,-0.035012,0.223053,0.252644,-1.536647,0.608227,-0.746523,-1.241144,2.000350,0.258411,3.532020,3.022956,1.126762,11.319810,5.210573,-4.192543
3367,0.946482,-0.106196,0.256356,0.164848,0.939948,-0.037029,0.226675,0.252479,-1.423361,0.633229,-0.606848,-1.302045,2.055787,0.216859,2.767515,4.521712,0.161948,11.895212,5.718721,-4.297738
3368,0.946542,-0.107487,0.256620,0.163252,0.939021,-0.039099,0.230384,0.252259,-1.345888,0.673525,-0.467669,-1.350311,2.109534,0.157468,3.553796,6.420835,-1.819067,12.393009,5.200465,-4.339253
3369,0.946616,-0.108727,0.256784,0.161739,0.938076,-0.041240,0.234187,0.251932,-1.277052,0.702125,-0.362947,-1.423694,2.164619,0.094140,4.244963,6.255531,-1.866209,12.994052,5.818132,-4.267970
3370,0.946708,-0.109913,0.256838,0.160307,0.937123,-0.043469,0.238093,0.251441,-1.222144,0.715635,-0.321393,-1.505116,2.221742,0.021112,5.929992,5.792214,-1.526313,13.861339,5.888228,-4.409933
3371,0.946822,-0.111040,0.256771,0.158955,0.936172,-0.045806,0.242108,0.250733,-1.245982,0.634783,-0.444447,-1.578752,2.278913,-0.058690,8.204833,6.583237,-1.309962,14.717463,5.752746,-4.494336
3372,0.946963,-0.112105,0.256571,0.157683,0.935233,-0.048267,0.246239,0.249752,-1.296722,0.482268,-0.652814,-1.654424,2.331096,-0.148990,8.280753,6.489787,-0.430194,15.220052,6.045522,-4.598848
3373,0.947136,-0.113103,0.256229,0.156489,0.934313,-0.050871,0.250493,0.248445,-1.260513,0.390227,-0.669427,-1.729484,2.388830,-0.244000,3.933489,6.957363,1.452143,15.943763,6.192418,-4.740575
3374,0.947343,-0.114030,0.255731,0.155373,0.933420,-0.053634,0.254877,0.246754,-1.163503,0.370850,-0.575900,-1.814359,2.435582,-0.342519,3.422571,6.686655,2.135639,16.195863,6.534102,-4.756017
3375,0.947588,-0.114882,0.255068,0.154333,0.932561,-0.056575,0.259398,0.244626,-1.079171,0.391627,-0.481710,-1.913325,2.462290,-0.456435,5.946594,7.459166,0.684699,16.435067,7.022381,-4.385959
3376,0.947870,-0.115630,0.254259,0.153374,0.931716,-0.059757,0.264119,0.242025,-0.994191,0.398646,-0.424394,-2.048834,2.475883,-0.568359,7.463565,6.529790,1.245722,16.844949,7.825385,-4.221935
3377,0.948184,-0.116258,0.253329,0.152500,0.930856,-0.063198,0.269070,0.238988,-0.915265,0.413124,-0.366105,-2.212451,2.492356,-0.692182,8.174414,6.694342,1.124752,17.889266,8.131404,-4.582148
3378,0.948527,-0.116787,0.252275,0.151709,0.929973,-0.066854,0.274209,0.235564,-0.831864,0.471787,-0.276964,-2.390623,2.491430,-0.854975,9.887603,6.900635,0.563516,17.675230,7.180468,-4.329502
3379,0.948898,-0.117235,0.251092,0.150999,0.929062,-0.070676,0.279492,0.231806,-0.743091,0.554093,-0.147958,-2.602780,2.469512,-1.081641,9.875480,7.309496,0.513164,16.430989,5.969626,-3.412310
3380,0.949298,-0.117620,0.249777,0.150369,0.928117,-0.074619,0.284877,0.227764,-0.672254,0.656925,-0.055810,-2.848467,2.423185,-1.374415,12.790609,7.285388,-0.014775,15.015950,5.168756,-2.440930
3381,0.949723,-0.117961,0.248326,0.149817,0.927136,-0.078637,0.290323,0.223491,-0.664271,0.656161,-0.087220,-3.018903,2.434418,-1.554045,12.395904,7.612763,0.762512,18.314629,4.149894,-4.122782
3382,0.950173,-0.118277,0.246735,0.149341,0.926118,-0.082683,0.295787,0.219040,-0.839622,0.533700,-0.287995,-3.037414,2.397450,-1.892162,12.805530,12.859081,-3.430447,19.393304,-2.819777,-3.894692
3383,0.950646,-0.118586,0.245001,0.148940,0.925066,-0.086711,0.301231,0.214464,-1.205323,0.340269,-0.571761,-3.008887,2.283194,-2.270632,12.247935,21.087848,-9.736223,16.100205,-4.920799,-2.593116
3384,0.951141,-0.118907,0.243120,0.148610,0.923982,-0.090675,0.306614,0.209818,-1.437849,0.170063,-0.697359,-2.964322,2.275518,-2.255668,6.100933,19.177468,-6.029772,16.465694,0.535770,-5.011542
3385,0.951654,-0.119258,0.241088,0.148352,0.922874,-0.094531,0.311896,0.205155,-1.373566,0.129823,-0.571597,-2.875351,2.286115,-1.975229,2.531742,11.773284,0.619088,17.494438,4.776077,-6.968098
3386,0.952185,-0.119659,0.238901,0.148162,0.921750,-0.098231,0.317041,0.200532,-0.849919,0.331239,0.116879,-2.709282,2.458056,-1.463279,-7.536107,2.881945,11.959026,23.676367,6.874117,-11.323230
3387,0.952731,-0.120127,0.236555,0.148039,0.920621,-0.101733,0.322010,0.196004,-0.259864,0.695906,1.154075,-2.601276,2.480204,-1.302902,-9.467841,5.316234,7.991692,16.020770,0.876238,-4.966174
3388,0.953324,-0.120631,0.233968,0.147922,0.919474,-0.105165,0.326936,0.191368,-0.135952,0.953781,2.004369,-2.694156,2.256640,-1.480941,-8.716075,25.111266,-7.186627,1.839067,6.015162,0.823212
3389,0.953985,-0.121131,0.231091,0.147772,0.918286,-0.108659,0.331942,0.186435,-0.187967,1.011738,2.283187,-2.931324,2.247731,-1.373036,2.084876,22.760479,-9.654338,6.392936,16.180586,-1.846123
3390,0.954695,-0.121632,0.227969,0.147623,0.917061,-0.112173,0.336978,0.181281,0.353891,0.875828,2.378083,-3.244426,2.222571,-1.383053,0.933457,-15.551169,17.039949,2.676546,19.560658,-0.197526
3391,0.955434,-0.122139,0.224652,0.147511,0.915800,-0.115663,0.341999,0.175983,0.141531,0.358026,2.149804,-3.296293,1.995994,-1.586024,-5.924430,14.726441,-1.904776,-6.298529,9.108857,4.819358
3392,0.956183,-0.122656,0.221184,0.147470,0.914510,-0.119089,0.346956,0.170616,-0.978000,-0.433579,1.426326,-3.131051,1.666806,-1.822516,-2.482859,52.993259,-30.008460,-10.129371,-1.129388,8.049356
3393,0.956923,-0.123188,0.217614,0.147535,0.913202,-0.122407,0.351805,0.165260,-2.460501,-1.221243,0.472234,-2.965364,1.481749,-1.973460,3.337972,67.888981,-46.563557,-4.272955,-2.982732,8.318162
3394,0.957638,-0.123741,0.213988,0.147739,0.911888,-0.125576,0.356501,0.159992,-3.283866,-1.104695,0.174777,-2.780513,1.387729,-2.002330,28.739746,42.691141,-38.657474,-0.662684,-5.731163,9.856810
3395,0.958309,-0.124320,0.210354,0.148118,0.910583,-0.128557,0.361001,0.154891,-3.808763,-0.815858,-0.214854,-2.461203,1.339641,-1.950088,40.180222,22.006235,-29.750062,1.207898,-11.802510,12.354953
3396,0.958921,-0.124929,0.206760,0.148706,0.909303,-0.131307,0.365261,0.150035,-4.303312,-0.300126,-0.940452,-2.177414,1.297537,-1.873816,63.943227,12.995273,-30.510420,1.591931,-10.329538,13.579316
3397,0.959457,-0.125575,0.203253,0.149539,0.908069,-0.133788,0.369242,0.145505,-4.063313,0.632939,-1.106549,-1.923275,1.221394,-1.883861,65.354095,-15.865589,-4.643045,1.322782,-9.269608,14.627276
3398,0.959901,-0.126261,0.199880,0.150651,0.906902,-0.135958,0.372902,0.141378,-2.958833,1.706404,-0.215312,-1.923337,1.156309,-2.106736,31.637101,-43.550557,31.531440,3.539119,-1.538601,13.175651
3399,0.960238,-0.126995,0.196690,0.152077,0.905825,-0.137779,0.376201,0.137735,-2.143565,2.128315,1.104070,-1.914073,1.087222,-2.350600,-9.807116,-29.585599,28.260037,2.189661,0.683048,12.484892
3400,0.960389,-0.127879,0.193843,0.154027,0.904843,-0.139244,0.379174,0.134526,-1.530952,2.289728,2.892215,-1.796552,0.858664,-2.541540,-43.597006,-10.349342,27.270808,-5.297952,-3.719708,12.796378
3401,0.960320,-0.128974,0.191389,0.156596,0.903948,-0.140393,0.381891,0.131634,-0.457833,2.899955,4.675741,-1.590641,0.571382,-2.498974,-19.205226,-41.814379,39.101138,-9.503960,-7.766918,11.870832
3402,0.960081,-0.130219,0.189210,0.159647,0.903138,-0.141258,0.384366,0.129038,-0.470476,3.200452,5.249343,-1.350574,0.453130,-2.144883,-6.993864,6.949739,14.919653,-4.294872,-10.337642,9.167964
3403,0.959725,-0.131554,0.187188,0.163043,0.902412,-0.141869,0.386611,0.126717,-1.372682,2.616672,5.215049,-1.158341,0.503027,-1.617412,-47.009931,52.801324,0.482958,0.990286,-9.898183,6.718233
3404,0.959302,-0.132919,0.185204,0.166647,0.901768,-0.142258,0.388638,0.124652,-1.966565,1.788588,4.688887,-0.973478,0.617366,-1.028560,-48.565137,24.866091,11.160323,2.390842,-8.990753,4.760171
3405,0.958867,-0.134254,0.183141,0.170323,0.901200,-0.142456,0.390461,0.122821,-2.477853,0.661262,3.347946,-0.746228,0.732493,-0.488652,-43.962185,8.370419,14.827572,2.061365,-9.903972,3.764519
3406,0.958472,-0.135499,0.180880,0.173933,0.900705,-0.142494,0.392092,0.121203,-2.348777,-0.817958,1.729263,-0.482639,0.729024,-0.171667,-56.076787,-35.025926,34.432230,-1.754598,-12.128417,4.001394
3407,0.958175,-0.136594,0.178306,0.177343,0.900278,-0.142403,0.393541,0.119777,-1.693396,-1.733728,1.318067,-0.331332,0.661386,-0.002979,-53.546806,-58.925778,39.892820,-3.412465,-8.306824,3.810664
3408,0.958029,-0.137479,0.175300,0.180415,0.899914,-0.142213,0.394820,0.118522,-1.011656,-2.652269,0.695085,-0.189291,0.563981,0.137582,-46.494269,-62.908917,34.944186,-4.261945,-7.496913,3.489136
3409,0.958092,-0.138095,0.171744,0.183014,0.899607,-0.141955,0.395941,0.117417,-0.458416,-3.839170,0.002294,0.011971,0.352216,0.211776,-62.026859,-52.863792,26.831126,-9.048183,-9.233702,4.241844
3410,0.958416,-0.138381,0.167523,0.185002,0.899351,-0.141660,0.396915,0.116441,0.370946,-4.672466,-0.519001,0.166099,0.107708,0.224380,-45.130300,-67.123297,27.883332,-10.966099,-6.975216,5.228926
3411,0.959052,-0.138278,0.162517,0.186243,0.899140,-0.141358,0.397754,0.115572,1.212441,-5.350000,-0.901985,0.265322,-0.082770,0.222874,-42.867286,-61.210144,8.820860,-8.629194,-4.484249,3.359865
3412,0.960015,-0.137872,0.156657,0.186605,0.898970,-0.141001,0.398477,0.114840,2.479010,-5.404736,-0.468450,0.308937,-0.159555,0.230853,-16.667101,-84.985941,11.273821,-4.169027,-2.393528,3.986882
3413,0.961246,-0.137282,0.150024,0.186151,0.898844,-0.140522,0.399087,0.114289,3.509082,-5.327033,0.141609,0.330793,-0.141097,0.239479,-9.339346,-71.870527,5.511934,-0.453451,-1.234206,3.827730
3414,0.962683,-0.136497,0.142730,0.185036,0.898771,-0.139931,0.399566,0.113916,3.702361,-5.565009,0.133212,0.361606,-0.154526,0.242722,-19.123449,-19.459050,-8.233857,-1.167030,-1.097282,2.910978
