frame_index,LeftUpperLeg_orientation_w,LeftUpperLeg_orientation_x,LeftUpperLeg_orientation_y,LeftUpperLeg_orientation_z,LeftLowerLeg_orientation_w,LeftLowerLeg_orientation_x,LeftLowerLeg_orientation_y,LeftLowerLeg_orientation_z,LeftUpperLeg_angularVelocity_x,LeftUpperLeg_angularVelocity_y,LeftUpperLeg_angularVelocity_z,LeftLowerLeg_angularVelocity_x,LeftLowerLeg_angularVelocity_y,LeftLowerLeg_angularVelocity_z,LeftUpperLeg_acceleration_x,LeftUpperLeg_acceleration_y,LeftUpperLeg_acceleration_z,LeftLowerLeg_acceleration_x,LeftLowerLeg_acceleration_y,LeftLowerLeg_acceleration_z
26,0.512398,-0.009386,0.005268,0.858681,0.544894,-0.036604,0.032705,0.837067,-0.001803,-0.003947,-0.037191,-0.019988,-0.009299,-0.009556,-0.111372,0.202323,-0.033118,-0.056610,0.150441,0.036496
27,-0.512210,0.009396,-0.005269,-0.858793,0.545156,-0.036555,0.032740,0.836897,-0.000759,-0.003214,-0.037899,-0.017880,-0.008648,-0.011312,0.011205,0.031471,0.019186,-0.029770,0.006688,-0.037997
28,0.512033,-0.009401,0.005272,0.858898,0.545413,-0.036509,0.032774,0.836730,-0.002838,-0.001639,-0.039904,-0.017379,-0.008002,-0.015351,0.029937,0.182044,-0.017685,-0.096154,0.040999,-0.023805
29,0.511871,-0.009403,0.005277,0.858995,0.545662,-0.036467,0.032808,0.836569,-0.002850,0.000682,-0.043724,-0.017613,-0.010296,-0.016282,0.081864,0.117173,-0.001045,-0.117907,0.100028,0.028675
30,0.511721,-0.009401,0.005285,0.859084,0.545902,-0.036429,0.032842,0.836412,-0.002345,0.003040,-0.047763,-0.018159,-0.010267,-0.015657,0.047170,-0.037378,-0.037587,-0.036970,0.110122,0.029741
31,0.511584,-0.009396,0.005293,0.859166,0.546136,-0.036394,0.032877,0.836260,-0.001595,0.004143,-0.052322,-0.018261,-0.012557,-0.016225,-0.051019,0.012802,0.043762,-0.152309,0.182978,-0.062844
32,0.511457,-0.009389,0.005303,0.859241,0.546363,-0.036363,0.032911,0.836111,0.002194,0.004377,-0.052982,-0.018993,-0.014495,-0.016265,-0.060403,-0.101252,0.026269,-0.119878,0.168980,0.013147
33,0.511340,-0.009380,0.005314,0.859311,0.546585,-0.036334,0.032944,0.835966,0.002083,0.000496,-0.051786,-0.021550,-0.011308,-0.017123,-0.327420,0.080734,0.030538,0.055432,0.154853,-0.016942
34,0.511230,-0.009369,0.005325,0.859376,0.546803,-0.036307,0.032977,0.835823,0.001277,0.000122,-0.046849,-0.020894,-0.012112,-0.017755,-0.075940,0.192619,0.022455,-0.068697,0.071983,0.024301
35,0.511127,-0.009357,0.005336,0.859437,0.547017,-0.036282,0.033009,0.835683,0.000175,-0.001239,-0.043909,-0.023085,-0.012831,-0.021210,-0.093313,0.153133,0.034082,-0.080150,0.142922,-0.018061
36,0.511030,-0.009344,0.005346,0.859495,0.547228,-0.036260,0.033039,0.835545,-0.000421,-0.004088,-0.037450,-0.022368,-0.012425,-0.022411,-0.198627,0.148232,0.047169,0.021973,0.067324,-0.038412
37,0.510937,-0.009332,0.005355,0.859551,0.547437,-0.036238,0.033068,0.835408,-0.002218,0.000932,-0.036305,-0.020678,-0.014423,-0.022330,0.337619,0.194606,-0.072120,-0.085404,-0.013746,0.037416
38,0.510848,-0.009319,0.005363,0.859604,0.547645,-0.036218,0.033096,0.835271,-0.000619,0.002028,-0.037241,-0.020581,-0.015767,-0.028008,0.036023,-0.088134,0.001512,-0.091040,0.035948,0.044644
39,-0.510760,0.009308,-0.005370,-0.859656,0.547853,-0.036198,0.033121,0.835135,-0.002149,0.000186,-0.037101,-0.022639,-0.014064,-0.026628,-0.134646,0.147104,0.091569,0.036390,0.086355,-0.002153
40,0.510674,-0.009296,0.005374,0.859707,0.548057,-0.036179,0.033145,0.835001,-0.002576,0.002188,-0.036533,-0.020764,-0.015070,-0.029578,0.108014,0.064295,-0.067060,-0.067494,-0.038917,-0.018282
41,0.510593,-0.009282,0.005379,0.859756,0.548254,-0.036162,0.033167,0.834871,-0.004087,0.001690,-0.036572,-0.024795,-0.014098,-0.029625,-0.029608,0.155599,0.026022,0.007556,0.148793,0.006216
42,0.510517,-0.009266,0.005382,0.859801,0.548446,-0.036145,0.033187,0.834745,-0.003451,-0.001421,-0.039380,-0.024671,-0.014298,-0.032032,-0.207815,-0.031910,-0.020981,-0.055728,0.088744,0.026632
43,0.510446,-0.009250,0.005385,0.859843,0.548634,-0.036130,0.033206,0.834622,-0.000410,-0.002701,-0.041088,-0.023971,-0.014282,-0.029474,-0.153010,-0.144966,0.020971,-0.012800,-0.019762,-0.068956
44,0.510380,-0.009233,0.005388,0.859882,0.548819,-0.036116,0.033224,0.834500,0.000365,-0.001077,-0.047961,-0.023361,-0.016005,-0.031108,0.088616,-0.086343,-0.005715,-0.140042,-0.014824,-0.006119
45,0.510321,-0.009215,0.005390,0.859918,0.549002,-0.036105,0.033241,0.834379,-0.001254,-0.001979,-0.048259,-0.022582,-0.017108,-0.031957,-0.054871,0.159751,0.029055,-0.040467,0.118451,-0.055968
46,0.510267,-0.009198,0.005392,0.859950,0.549186,-0.036096,0.033257,0.834258,-0.002398,-0.000474,-0.050510,-0.021632,-0.021876,-0.040154,0.066304,0.074651,-0.010839,-0.262845,-0.007546,0.048253
