SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status
883298,0.874485,-0.015737,0.024821,0.484161,0.276623,-0.230265,0.051410,-0.007617,-0.009627,-0.001215,0
899964,0.874474,-0.015713,0.024820,0.484182,0.521763,0.087533,-0.032738,-0.009307,-0.005668,-0.017072,0
916630,0.874460,-0.015687,0.024818,0.484208,0.112651,-0.013935,0.021076,-0.008585,-0.006398,-0.023432,0
933296,0.874443,-0.015660,0.024816,0.484240,0.084358,0.426385,0.011827,-0.012275,-0.006765,-0.023833,0
949962,0.874425,-0.015632,0.024814,0.484274,0.446650,0.031927,-0.092260,-0.011198,-0.001889,-0.021646,0
966628,0.874405,-0.015602,0.024812,0.484311,0.063863,0.373690,-0.054181,-0.013734,-0.001574,-0.017752,0
983294,0.874385,-0.015571,0.024810,0.484348,-0.121713,0.242584,-0.042826,-0.014988,-0.003073,-0.015113,0
999960,0.874365,-0.015539,0.024807,0.484385,-0.157220,0.093275,-0.047362,-0.015071,-0.004634,-0.016759,0
1016626,0.874347,-0.015505,0.024804,0.484419,-0.040564,0.144277,0.007711,-0.015708,-0.005266,-0.017615,0
1033292,0.874331,-0.015470,0.024802,0.484449,-0.154844,-0.154026,-0.030606,-0.012355,-0.006664,-0.017424,0
1049958,0.874318,-0.015434,0.024798,0.484473,-0.011867,0.170486,-0.140405,-0.013637,-0.006557,-0.017257,0
1066624,0.874308,-0.015396,0.024796,0.484494,-0.281603,-0.006487,-0.009872,-0.012239,-0.008476,-0.006765,0
1083290,0.874298,-0.015356,0.024794,0.484512,-0.081289,0.285014,-0.087417,-0.014001,-0.008449,0.004586,0
1099956,0.874290,-0.015313,0.024793,0.484528,-0.325089,0.087482,-0.027804,-0.013592,-0.011931,0.006655,0
1116622,0.874283,-0.015270,0.024792,0.484542,-0.316140,-0.104702,0.091615,-0.011571,-0.016221,0.008748,0
1133288,0.874276,-0.015224,0.024790,0.484556,-0.365772,0.244760,0.019726,-0.014228,-0.021424,0.007597,0
1149954,0.874270,-0.015178,0.024789,0.484569,-0.027487,-0.000530,0.034800,-0.012973,-0.022720,0.004339,0
1166620,0.874264,-0.015131,0.024786,0.484582,0.157717,0.045578,-0.026477,-0.013346,-0.021268,0.000403,0
1183286,0.874257,-0.015084,0.024782,0.484596,0.267354,0.212190,-0.032713,-0.015454,-0.018192,-0.005401,0
1199952,0.874250,-0.015037,0.024776,0.484611,0.276314,-0.032118,0.002300,-0.014487,-0.015942,-0.014768,0
1216618,0.874242,-0.014991,0.024769,0.484627,0.487958,0.175176,-0.107362,-0.016782,-0.011386,-0.025523,0
1233284,0.874233,-0.014945,0.024759,0.484645,0.049250,-0.223371,0.041746,-0.013534,-0.012238,-0.036798,0
1249950,0.874222,-0.014900,0.024746,0.484666,-0.162327,0.215033,0.035349,-0.014920,-0.015182,-0.038438,0
1266616,0.874211,-0.014856,0.024731,0.484688,0.135975,0.212246,-0.017852,-0.016266,-0.013347,-0.037544,0
1283282,0.874199,-0.014811,0.024714,0.484712,0.260095,0.299071,-0.093196,-0.019476,-0.009295,-0.029028,0
1299948,0.874187,-0.014766,0.024694,0.484737,0.255900,0.126312,-0.081495,-0.020811,-0.004745,-0.027058,0
1316614,0.874174,-0.014721,0.024672,0.484763,-0.121631,0.006698,-0.010590,-0.020375,-0.005878,-0.025799,0
1333280,0.874160,-0.014676,0.024649,0.484789,-0.309525,0.242733,-0.024753,-0.022665,-0.008369,-0.018879,0
1349946,0.874146,-0.014631,0.024625,0.484817,0.129006,-0.090950,-0.050543,-0.021032,-0.006180,-0.012578,0
1366612,0.874132,-0.014586,0.024599,0.484846,0.050293,0.188191,-0.009312,-0.023124,-0.004068,-0.007795,0
1383278,0.874117,-0.014542,0.024572,0.484875,0.143156,-0.212370,-0.043515,-0.020085,-0.001800,-0.003046,0
1399944,0.874102,-0.014499,0.024545,0.484905,-0.320328,-0.083938,0.071613,-0.018760,-0.005492,-0.001982,0
1416610,0.874086,-0.014456,0.024518,0.484936,0.005900,-0.350474,0.016193,-0.014849,-0.004509,-0.000502,0
1433276,0.874070,-0.014415,0.024490,0.484967,-0.125167,0.001527,0.009015,-0.014638,-0.006719,-0.004184,0
1449942,0.874054,-0.014374,0.024463,0.484999,-0.362409,-0.091591,0.024264,-0.013676,-0.011451,-0.009388,0
1466608,0.874038,-0.014335,0.024435,0.485030,0.069236,-0.211842,0.002078,-0.010622,-0.011078,-0.012589,0
1483274,0.874023,-0.014296,0.024406,0.485060,-0.262273,0.199615,0.100630,-0.011583,-0.014941,-0.009798,0
1499940,0.874009,-0.014258,0.024375,0.485088,0.049266,0.215206,0.009456,-0.012485,-0.013981,-0.010227,0
1516606,0.873995,-0.014222,0.024344,0.485117,0.019092,0.240859,0.011056,-0.013358,-0.013184,-0.007495,0
1533272,0.873980,-0.014185,0.024312,0.485146,0.396797,0.177173,-0.046963,-0.014547,-0.007286,-0.012211,0
1549938,0.873964,-0.014150,0.024280,0.485177,0.169007,0.165533,-0.019793,-0.015564,-0.004360,-0.016749,0
1566604,0.873947,-0.014114,0.024248,0.485210,0.366791,0.259008,-0.030400,-0.017949,0.000188,-0.025024,0
1583270,0.873929,-0.014079,0.024216,0.485246,0.109835,0.047259,-0.041457,-0.017888,0.003015,-0.025425,0
1599936,0.873908,-0.014044,0.024184,0.485286,0.043104,0.289173,-0.067308,-0.019875,0.004492,-0.026629,0
1616602,0.873885,-0.014009,0.024153,0.485330,0.222469,0.373655,-0.040287,-0.023731,0.007266,-0.028913,0
1633268,0.873859,-0.013975,0.024122,0.485379,-0.028450,-0.041513,-0.053001,-0.022400,0.007265,-0.033167,0
1649934,0.873830,-0.013939,0.024093,0.485434,-0.231933,0.057528,-0.017439,-0.022105,0.003884,-0.037618,0
1666600,0.873797,-0.013904,0.024065,0.485495,-0.063601,-0.026999,-0.068000,-0.021353,0.003279,-0.039499,0
1683266,0.873761,-0.013869,0.024038,0.485564,0.031374,-0.025688,0.011049,-0.019868,0.003633,-0.040768,0
1699932,0.873721,-0.013834,0.024012,0.485638,-0.147990,-0.274589,-0.020676,-0.015426,0.001333,-0.041265,0
1716598,0.873678,-0.013800,0.023987,0.485716,-0.499608,0.287644,0.015673,-0.017247,-0.005844,-0.040401,0
1733264,0.873634,-0.013765,0.023962,0.485799,-0.169593,-0.038386,0.035306,-0.015185,-0.007845,-0.038103,0
1749930,0.873588,-0.013731,0.023937,0.485883,-0.189695,0.063715,-0.022938,-0.013937,-0.009984,-0.033581,0
1766596,0.873541,-0.013697,0.023912,0.485970,-0.078629,0.097514,0.030244,-0.014908,-0.010391,-0.031580,0
1783262,0.873494,-0.013663,0.023887,0.486057,0.186580,0.067044,-0.033136,-0.015082,-0.007379,-0.034112,0
1799928,0.873447,-0.013629,0.023860,0.486144,0.181562,-0.209399,0.059153,-0.011682,-0.004350,-0.040430,0
1816594,0.873400,-0.013595,0.023833,0.486230,0.733057,-0.128755,-0.028067,-0.011535,0.003822,-0.056735,0
1833260,0.873355,-0.013562,0.023804,0.486313,0.234524,-0.059333,0.006533,-0.012885,0.005185,-0.072397,0
1849926,0.873312,-0.013528,0.023774,0.486393,0.408387,0.149053,-0.064470,-0.015335,0.009565,-0.081890,0
1866592,0.873270,-0.013495,0.023741,0.486471,0.389480,0.254380,-0.106528,-0.019153,0.013908,-0.079984,0
