SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status
883298,0.876554,-0.042052,-0.003357,0.479451,-0.009369,0.009797,0.082770,0.003661,-0.001298,0.017491,0
899964,0.876564,-0.042053,-0.003338,0.479433,0.213968,-0.040596,0.013497,0.004548,0.002196,0.021029,0
916630,0.876576,-0.042054,-0.003319,0.479411,-0.027125,0.166277,-0.029941,0.002860,0.000041,0.023712,0
933296,0.876590,-0.042057,-0.003300,0.479386,0.105840,0.044143,-0.011239,0.000939,0.001975,0.027295,0
949962,0.876604,-0.042059,-0.003282,0.479360,0.031641,0.060499,-0.038310,0.000878,0.000202,0.023174,0
966628,0.876619,-0.042061,-0.003265,0.479333,0.056341,0.082360,-0.022383,0.001713,0.001286,0.019290,0
983294,0.876632,-0.042063,-0.003248,0.479308,0.075690,0.064409,0.004610,0.000792,0.002825,0.014728,0
999960,0.876645,-0.042063,-0.003232,0.479285,-0.024510,0.093840,0.018308,0.000532,0.003308,0.010427,0
1016626,0.876655,-0.042062,-0.003217,0.479266,0.036514,0.040833,-0.019539,-0.001388,0.003477,0.006243,0
1033292,0.876663,-0.042060,-0.003202,0.479252,0.012278,0.053995,0.034304,-0.000266,0.003659,0.003842,0
1049958,0.876667,-0.042055,-0.003189,0.479245,-0.142328,0.122568,0.012295,-0.001450,0.001029,0.002579,0
1066624,0.876668,-0.042048,-0.003176,0.479244,0.050598,0.147919,-0.002507,-0.004840,-0.000018,-0.002044,0
1083290,0.876667,-0.042040,-0.003163,0.479247,-0.015438,0.026427,-0.012563,-0.002285,-0.000605,-0.002979,0
1099956,0.876663,-0.042031,-0.003151,0.479254,-0.053445,0.103427,0.024807,-0.002722,-0.002354,-0.004838,0
1116622,0.876658,-0.042020,-0.003140,0.479265,0.057952,-0.010456,0.046387,0.000416,-0.001180,-0.009769,0
1133288,0.876652,-0.042009,-0.003129,0.479277,0.021309,0.146144,0.097337,-0.000221,-0.000110,-0.011282,0
1149954,0.876644,-0.041997,-0.003119,0.479292,0.096480,-0.010280,0.046539,0.002874,0.003277,-0.010770,0
1166620,0.876636,-0.041983,-0.003110,0.479308,-0.067206,0.099107,0.005731,0.000957,-0.000243,-0.008984,0
1183286,0.876628,-0.041970,-0.003102,0.479325,0.055626,0.180611,-0.008548,-0.003519,0.000478,-0.005059,0
1199952,0.876619,-0.041955,-0.003095,0.479342,0.089078,0.112031,0.012785,-0.005711,0.000853,0.001101,0
1216618,0.876611,-0.041940,-0.003090,0.479358,0.022718,-0.023949,0.000705,-0.005511,0.000115,0.003826,0
1233284,0.876604,-0.041925,-0.003086,0.479373,0.077191,-0.078830,-0.049161,-0.003156,0.002558,0.005755,0
1249950,0.876597,-0.041910,-0.003084,0.479387,0.081743,0.184373,-0.017633,-0.007860,0.005039,0.004921,0
1266616,0.876591,-0.041894,-0.003083,0.479399,-0.129618,-0.009831,-0.019742,-0.008386,0.002809,0.005668,0
1283282,0.876585,-0.041878,-0.003083,0.479412,-0.007319,-0.061730,-0.033110,-0.004984,0.004238,0.005376,0
1299948,0.876578,-0.041861,-0.003084,0.479426,-0.084335,0.049113,-0.058602,-0.009058,0.002464,0.002057,0
1316614,0.876571,-0.041844,-0.003087,0.479439,0.010333,0.016226,-0.047365,-0.008064,0.003656,-0.002565,0
