SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status
0,1.000000,-0.000000,0.000000,0.000000,,,,,,,0
16666,1.000000,-0.000000,0.000000,0.000000,,,,,,,0
33332,0.707107,-0.000000,0.707107,0.000000,,,,,,,0
49998,0.645726,-0.308175,-0.626747,-0.308633,-0.073263,0.234487,-0.189452,0.026448,0.111874,0.270637,0
66664,0.645926,-0.307941,-0.626891,-0.308154,0.178623,0.188478,-0.106995,0.023516,0.116254,0.283407,0
83330,0.646129,-0.307703,-0.627036,-0.307673,-0.150570,-0.031099,-0.218964,0.029202,0.114458,0.287491,0
99996,0.646332,-0.307463,-0.627181,-0.307190,-0.101030,0.184069,-0.070242,0.028963,0.111711,0.293790,0
116662,0.646535,-0.307221,-0.627327,-0.306705,-0.197521,-0.119729,-0.169709,0.036263,0.108899,0.284385,0
133328,0.646739,-0.306979,-0.627473,-0.306221,-0.331289,0.124043,-0.083475,0.038345,0.102395,0.287872,0
149994,0.646941,-0.306738,-0.627617,-0.305737,-0.164138,0.207790,-0.065479,0.037279,0.098328,0.289319,0
166660,0.647142,-0.306499,-0.627761,-0.305255,-0.182894,0.278101,-0.007421,0.035925,0.094339,0.287303,0
183326,0.647341,-0.306265,-0.627904,-0.304775,0.000996,0.295543,0.072105,0.031835,0.096184,0.280946,0
199992,0.647537,-0.306036,-0.628045,-0.304299,-0.034025,0.282042,0.051763,0.030673,0.098107,0.268667,0
216658,0.647729,-0.305813,-0.628184,-0.303826,0.043392,0.091722,0.156421,0.032480,0.101966,0.260138,0
233324,0.647918,-0.305599,-0.628320,-0.303358,0.018652,-0.144495,0.145976,0.037164,0.108682,0.225575,0
249990,0.648101,-0.305394,-0.628454,-0.302896,-0.221205,-0.296692,0.156745,0.040854,0.108061,0.192381,0
266656,0.648280,-0.305194,-0.628588,-0.302435,0.158078,-0.049979,0.265572,0.036484,0.112229,0.200120,0
283322,0.648455,-0.304996,-0.628726,-0.301972,0.098242,-0.003943,0.179345,0.027729,0.115309,0.212317,0
299988,0.648626,-0.304802,-0.628865,-0.301510,0.009795,-0.106022,0.154955,0.023055,0.118218,0.220404,0
316654,0.648795,-0.304611,-0.629005,-0.301048,-0.010793,0.090031,0.094178,0.017466,0.119850,0.231010,0
333320,0.648960,-0.304426,-0.629143,-0.300591,-0.107769,-0.092879,0.102606,0.019391,0.118072,0.230438,0
349986,0.649123,-0.304247,-0.629278,-0.300137,-0.186400,0.006866,-0.023434,0.021638,0.110782,0.240367,0
366652,0.649284,-0.304076,-0.629407,-0.299691,-0.256834,-0.020770,-0.050468,0.027644,0.104180,0.227210,0
383318,0.649444,-0.303913,-0.629530,-0.299252,-0.074659,-0.100848,-0.147177,0.038738,0.094990,0.235135,0
399984,0.649601,-0.303761,-0.629645,-0.298823,-0.100305,-0.090639,-0.159355,0.051790,0.088959,0.235662,0
416650,0.649758,-0.303620,-0.629750,-0.298405,0.154654,0.151237,-0.160807,0.055191,0.083435,0.246878,0
433316,0.649913,-0.303491,-0.629843,-0.298000,0.098282,0.055291,-0.108084,0.060263,0.080459,0.247810,0
449982,0.650068,-0.303376,-0.629923,-0.297610,0.089516,-0.034535,-0.157562,0.064307,0.076436,0.242265,0
466648,0.650225,-0.303278,-0.629987,-0.297232,0.272539,0.014038,-0.069616,0.064147,0.075306,0.244240,0
483314,0.650385,-0.303197,-0.630034,-0.296863,0.285910,-0.122733,-0.085156,0.067127,0.078539,0.240223,0
499980,0.650546,-0.303132,-0.630069,-0.296504,0.504912,-0.102205,0.008774,0.064873,0.083907,0.234083,0
516646,0.650706,-0.303080,-0.630093,-0.296154,0.406399,-0.318919,-0.013347,0.066806,0.091693,0.203350,0
533312,0.650866,-0.303038,-0.630108,-0.295813,0.361917,-0.402521,0.002020,0.067325,0.099346,0.175008,0
549978,0.651022,-0.303003,-0.630118,-0.295483,0.255999,-0.502298,0.010555,0.067217,0.105388,0.136503,0
566644,0.651175,-0.302974,-0.630125,-0.295163,0.005015,-0.591222,0.025229,0.065725,0.100962,0.117512,0
583310,0.651322,-0.302946,-0.630131,-0.294853,-0.054757,-0.563955,-0.041306,0.065310,0.096042,0.100614,0
599976,0.651462,-0.302918,-0.630140,-0.294553,-0.068307,-0.498733,0.033910,0.062314,0.087850,0.093986,0
616642,0.651594,-0.302886,-0.630153,-0.294264,-0.027815,-0.562541,0.035615,0.059620,0.084540,0.074794,0
633308,0.651716,-0.302849,-0.630175,-0.293986,-0.129235,-0.629139,0.001827,0.061871,0.080478,0.052174,0
649974,0.651828,-0.302804,-0.630206,-0.293719,0.068672,-0.566521,-0.002982,0.064119,0.081587,0.023331,0
666640,0.651920,-0.302771,-0.630239,-0.293477,-0.096699,-0.485942,0.137898,0.063284,0.081363,-0.008051,0
683306,0.651990,-0.302766,-0.630266,-0.293268,-0.131757,-0.622303,0.003195,0.065374,0.080749,-0.042782,0
699972,0.652043,-0.302780,-0.630290,-0.293084,-0.133696,-0.160411,0.083184,0.055660,0.081758,-0.049293,0
716638,0.652084,-0.302804,-0.630314,-0.292918,-0.130255,0.008116,0.113157,0.041356,0.078686,-0.031903,0
733304,0.652118,-0.302827,-0.630340,-0.292762,-0.030706,-0.005752,0.114048,0.027445,0.079051,0.004414,0
749970,0.652150,-0.302839,-0.630371,-0.292610,-0.119492,0.190548,0.117497,0.012550,0.078453,0.057148,0
766636,0.652186,-0.302833,-0.630410,-0.292453,-0.204707,-0.016329,0.078090,0.003635,0.073803,0.112057,0
783302,0.652231,-0.302796,-0.630459,-0.292284,-0.197885,0.085485,0.085186,-0.006869,0.069255,0.159218,0
799968,0.652290,-0.302721,-0.630522,-0.292095,-0.378913,0.108819,0.051003,-0.013478,0.058000,0.196233,0
816634,0.652368,-0.302597,-0.630601,-0.291880,-0.467037,-0.089201,0.014495,-0.014427,0.045478,0.224983,0
833300,0.652470,-0.302415,-0.630698,-0.291629,-0.301604,-0.013873,-0.064753,-0.013661,0.033963,0.249097,0
849966,0.652602,-0.302165,-0.630817,-0.291337,-0.341262,0.092161,-0.112094,-0.014970,0.018538,0.281135,0
866632,0.652769,-0.301830,-0.630965,-0.290989,-0.253820,0.051038,-0.125058,-0.014558,0.004627,0.312000,0
883298,0.652969,-0.301411,-0.631145,-0.290586,0.005666,0.292918,-0.136122,-0.021564,-0.004502,0.346682,0
899964,0.653194,-0.300921,-0.631350,-0.290139,0.145114,0.179643,-0.173367,-0.023819,-0.013053,0.374184,0
916630,0.653440,-0.300378,-0.631574,-0.289661,0.247852,0.144913,-0.163726,-0.026956,-0.015158,0.393440,0
933296,0.653699,-0.299795,-0.631811,-0.289164,0.294250,-0.052852,-0.144550,-0.024301,-0.017067,0.409912,0
949962,0.653965,-0.299188,-0.632054,-0.288658,0.216239,-0.152588,-0.079156,-0.022148,-0.021424,0.415066,0
966628,0.654232,-0.298572,-0.632298,-0.288156,0.183802,-0.203349,-0.074513,-0.020274,-0.024801,0.411965,0
983294,0.654494,-0.297963,-0.632536,-0.287669,0.131700,-0.324648,-0.035717,-0.015669,-0.031660,0.396666,0
999960,0.654745,-0.297375,-0.632762,-0.287210,0.125951,-0.479088,0.076495,-0.009379,-0.033888,0.371813,0
1016626,0.654977,-0.296825,-0.632970,-0.286790,0.073623,-0.531326,0.138631,-0.003223,-0.034094,0.331942,0
1033292,0.655186,-0.296327,-0.633154,-0.286422,-0.044735,-0.509363,0.165493,-0.000358,-0.034570,0.284324,0
1049958,0.655365,-0.295897,-0.633308,-0.286116,0.157133,-0.324845,0.219199,-0.005059,-0.027725,0.240390,0
1066624,0.655513,-0.295531,-0.633434,-0.285877,0.047118,-0.406428,0.218363,-0.008922,-0.024873,0.211181,0
1083290,0.655636,-0.295210,-0.633539,-0.285693,0.001119,-0.464051,0.222765,-0.012869,-0.024042,0.190625,0
1099956,0.655739,-0.294926,-0.633627,-0.285556,-0.077612,-0.236926,0.249149,-0.021301,-0.029664,0.181649,0
1116622,0.655827,-0.294671,-0.633700,-0.285455,-0.027508,-0.243325,0.093016,-0.024930,-0.035477,0.181071,0
1133288,0.655904,-0.294439,-0.633761,-0.285382,0.014763,-0.143761,0.082948,-0.027829,-0.038092,0.175599,0
1149954,0.655974,-0.294221,-0.633815,-0.285327,-0.024384,-0.037632,0.069233,-0.030156,-0.045840,0.157884,0
1166620,0.656042,-0.294010,-0.633863,-0.285281,0.014842,-0.022430,-0.003541,-0.030802,-0.049539,0.131939,0
1183286,0.656112,-0.293798,-0.633908,-0.285236,0.063263,-0.121867,-0.053161,-0.024994,-0.052774,0.103042,0
1199952,0.656190,-0.293577,-0.633955,-0.285181,0.194180,-0.101905,-0.124177,-0.017745,-0.052693,0.081392,0
1216618,0.656280,-0.293341,-0.634005,-0.285108,0.197106,-0.037369,-0.163427,-0.013243,-0.054504,0.066913,0
1233284,0.656385,-0.293080,-0.634062,-0.285007,0.253615,-0.080607,-0.214163,-0.009503,-0.057579,0.064900,0
1249950,0.656511,-0.292787,-0.634128,-0.284869,0.369221,-0.134758,-0.208467,-0.005971,-0.056203,0.071899,0
1266616,0.656656,-0.292471,-0.634200,-0.284699,0.318045,-0.145317,-0.152059,-0.001962,-0.057104,0.087572,0
1283282,0.656813,-0.292146,-0.634272,-0.284511,0.311220,-0.019312,-0.189137,-0.000885,-0.054232,0.106086,0
1299948,0.656980,-0.291810,-0.634344,-0.284308,0.309513,-0.109123,-0.076475,0.001609,-0.048150,0.129252,0
1316614,0.657157,-0.291466,-0.634417,-0.284092,-0.054022,-0.129097,-0.135658,0.004723,-0.049912,0.153121,0
1333280,0.657340,-0.291112,-0.634490,-0.283867,-0.030711,-0.124351,-0.018660,0.007856,-0.050625,0.176243,0
1349946,0.657528,-0.290751,-0.634564,-0.283636,-0.112521,0.025953,-0.010649,0.009570,-0.050110,0.200326,0
1366612,0.657720,-0.290382,-0.634638,-0.283402,-0.071766,0.048908,0.015606,0.007954,-0.048962,0.227821,0
1383278,0.657913,-0.290006,-0.634715,-0.283167,-0.064645,0.155575,-0.030783,0.004296,-0.046319,0.251469,0
1399944,0.658107,-0.289622,-0.634793,-0.282935,-0.053643,0.081726,0.024975,0.001384,-0.044271,0.278373,0
1416610,0.658298,-0.289233,-0.634873,-0.282709,-0.240074,-0.063537,0.023032,-0.000377,-0.046262,0.300909,0
1433276,0.658486,-0.288837,-0.634955,-0.282492,-0.418305,0.062132,0.057148,-0.007233,-0.057331,0.321385,0
1449942,0.658668,-0.288436,-0.635040,-0.282286,-0.277024,-0.064288,0.112682,-0.013499,-0.067820,0.334361,0
1466608,0.658851,-0.288014,-0.635132,-0.282082,-0.354632,-0.008323,0.067417,-0.022088,-0.084279,0.340702,0
1483274,0.659040,-0.287563,-0.635235,-0.281870,-0.105060,-0.188483,0.031035,-0.025577,-0.092659,0.338068,0
1499940,0.659233,-0.287089,-0.635346,-0.281653,0.073570,-0.287462,0.056430,-0.024797,-0.096219,0.327477,0
1516606,0.659428,-0.286600,-0.635461,-0.281434,0.201365,-0.119111,0.160352,-0.030744,-0.096933,0.308539,0
1533272,0.659622,-0.286105,-0.635577,-0.281219,0.268051,-0.262985,0.058484,-0.030833,-0.096766,0.287918,0
1549938,0.659815,-0.285610,-0.635693,-0.281010,0.261259,-0.219946,0.188419,-0.032505,-0.094240,0.266102,0
1566604,0.660002,-0.285124,-0.635804,-0.280811,0.412402,-0.359805,0.201788,-0.028222,-0.088059,0.236358,0
1583270,0.660184,-0.284654,-0.635907,-0.280626,0.312832,-0.172368,0.220783,-0.026902,-0.081665,0.208513,0
1599936,0.660356,-0.284209,-0.636001,-0.280459,0.326389,-0.114667,0.235855,-0.027879,-0.074218,0.170720,0
1616602,0.660518,-0.283796,-0.636082,-0.280313,0.381861,-0.063473,0.289044,-0.028438,-0.064792,0.133796,0
1633268,0.660668,-0.283423,-0.636147,-0.280192,0.280920,0.057111,0.250268,-0.031697,-0.054411,0.096115,0
1649934,0.660802,-0.283097,-0.636193,-0.280099,0.108677,0.109658,0.305027,-0.034690,-0.048337,0.056989,0
1666600,0.660917,-0.282824,-0.636220,-0.280042,0.079569,0.033395,0.206662,-0.032229,-0.041265,0.018842,0
1683266,0.661013,-0.282599,-0.636230,-0.280020,-0.108695,0.021295,0.168135,-0.031881,-0.041255,-0.005284,0
1699932,0.661092,-0.282414,-0.636227,-0.280027,-0.013913,0.166462,0.173358,-0.032775,-0.040751,-0.009353,0
1716598,0.661159,-0.282260,-0.636212,-0.280057,-0.102738,0.237018,0.100176,-0.031959,-0.043552,0.002184,0
1733264,0.661218,-0.282131,-0.636186,-0.280105,-0.058147,0.251889,0.005525,-0.027015,-0.048245,0.018615,0
1749930,0.661273,-0.282019,-0.636153,-0.280165,-0.064967,0.202573,-0.026820,-0.017660,-0.051352,0.037049,0
1766596,0.661326,-0.281916,-0.636115,-0.280231,-0.061613,0.167401,-0.114553,-0.004531,-0.052552,0.049776,0
1783262,0.661382,-0.281813,-0.636072,-0.280298,-0.065504,0.134101,-0.106393,0.007559,-0.056708,0.063643,0
1799928,0.661445,-0.281704,-0.636028,-0.280359,-0.029626,0.278741,-0.144997,0.016036,-0.063361,0.074891,0
1816594,0.661518,-0.281581,-0.635985,-0.280408,0.014398,0.177630,-0.135018,0.023839,-0.068443,0.086762,0
1833260,0.661605,-0.281436,-0.635944,-0.280441,-0.018164,0.225976,-0.160924,0.027144,-0.076693,0.096687,0
1849926,0.661710,-0.281262,-0.635908,-0.280451,0.159786,0.173460,-0.100130,0.030343,-0.080085,0.106492,0
1866592,0.661834,-0.281056,-0.635875,-0.280440,0.117448,0.127102,-0.154208,0.033018,-0.085108,0.107721,0
1883258,0.661973,-0.280828,-0.635841,-0.280417,0.222039,0.145224,-0.050455,0.030202,-0.084636,0.104711,0
1899924,0.662124,-0.280582,-0.635807,-0.280384,0.243548,-0.118800,-0.031248,0.033629,-0.083252,0.101205,0
1916590,0.662285,-0.280324,-0.635771,-0.280344,0.096383,-0.043884,0.051849,0.033956,-0.084128,0.100872,0
1933256,0.662452,-0.280059,-0.635734,-0.280297,0.151694,0.054140,0.199145,0.030329,-0.082541,0.107799,0
1949922,0.662622,-0.279793,-0.635695,-0.280248,0.010711,-0.017648,0.118742,0.029652,-0.084746,0.107908,0
1966588,0.662794,-0.279532,-0.635654,-0.280198,0.008591,-0.155917,0.177358,0.029991,-0.083109,0.102594,0
1983254,0.662963,-0.279281,-0.635609,-0.280149,-0.069868,-0.063674,0.088611,0.026303,-0.083873,0.094756,0
1999920,0.663127,-0.279044,-0.635562,-0.280104,-0.006611,0.114156,0.102181,0.020041,-0.083746,0.092992,0
2016586,0.663283,-0.278829,-0.635510,-0.280065,0.103750,-0.000693,0.013440,0.018420,-0.077283,0.093765,0
2033252,0.663429,-0.278639,-0.635455,-0.280034,0.088940,0.143132,-0.021462,0.013222,-0.069186,0.087270,0
2049918,0.663560,-0.278482,-0.635396,-0.280014,-0.039224,-0.093823,-0.073809,0.015628,-0.064040,0.072909,0
