SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status
0,1.000000,-0.000000,0.000000,0.000000,,,,,,,0
16666,0.999797,-0.000000,0.000000,-0.020149,,,,,,,0
33332,0.489824,-0.489824,0.509973,-0.509973,,,,,,,0
49998,0.645928,-0.326461,-0.609528,-0.323536,-0.350530,-0.463772,-0.027080,0.151893,0.129752,0.332034,0
66664,0.646098,-0.326414,-0.609603,-0.323103,-0.276274,0.258770,0.047889,0.138700,0.132339,0.309659,0
83330,0.646278,-0.326362,-0.609676,-0.322657,-0.208743,0.214988,0.104174,0.125068,0.133287,0.283420,0
99996,0.646466,-0.326306,-0.609747,-0.322201,-0.334103,0.206721,0.088430,0.112617,0.132297,0.260938,0
116662,0.646658,-0.326249,-0.609818,-0.321740,-0.417360,0.168941,0.086677,0.100072,0.130135,0.234855,0
133328,0.646850,-0.326191,-0.609889,-0.321279,-0.317094,-0.027599,0.063824,0.091104,0.126465,0.208692,0
149994,0.647037,-0.326135,-0.609960,-0.320823,-0.222246,-0.013537,0.134055,0.081735,0.124701,0.183772,0
166660,0.647217,-0.326083,-0.610032,-0.320376,-0.353432,-0.211085,0.106477,0.075017,0.119070,0.159719,0
183326,0.647386,-0.326035,-0.610106,-0.319944,-0.229678,-0.170087,0.119434,0.068422,0.116703,0.139708,0
199992,0.647539,-0.325995,-0.610181,-0.319530,-0.020847,-0.394984,0.054357,0.067380,0.119232,0.125254,0
216658,0.647673,-0.325963,-0.610260,-0.319139,-0.274106,-0.368128,0.082455,0.066829,0.116034,0.112777,0
233324,0.647785,-0.325942,-0.610342,-0.318778,-0.075242,-0.340355,0.104616,0.066038,0.117432,0.096511,0
249990,0.647871,-0.325933,-0.610427,-0.318449,-0.132566,-0.077107,0.179946,0.059348,0.116154,0.082543,0
266656,0.647933,-0.325936,-0.610514,-0.318152,-0.086961,-0.168444,0.300861,0.053537,0.116121,0.067531,0
283322,0.647977,-0.325952,-0.610600,-0.317882,-0.136460,0.044835,0.363474,0.045201,0.115150,0.059848,0
299988,0.648003,-0.325977,-0.610686,-0.317636,-0.060789,0.047336,0.303916,0.036460,0.113408,0.051522,0
316654,0.648014,-0.326010,-0.610774,-0.317412,-0.098622,-0.046830,0.295505,0.029184,0.111328,0.050633,0
333320,0.648010,-0.326051,-0.610863,-0.317206,0.015114,0.119293,0.251753,0.019146,0.109954,0.052574,0
349986,0.647992,-0.326097,-0.610956,-0.317017,-0.133843,0.212953,0.180600,0.008212,0.105155,0.055660,0
366652,0.647961,-0.326147,-0.611053,-0.316842,0.015358,0.142739,0.075293,-0.003086,0.102071,0.062655,0
383318,0.647917,-0.326200,-0.611156,-0.316678,-0.040808,0.110935,0.062479,-0.012089,0.099082,0.067332,0
399984,0.647863,-0.326253,-0.611266,-0.316522,0.209126,0.215453,-0.020594,-0.023408,0.101315,0.072458,0
416650,0.647798,-0.326307,-0.611383,-0.316373,0.142535,-0.086546,-0.048998,-0.029449,0.102481,0.076103,0
433316,0.647724,-0.326359,-0.611509,-0.316228,0.140820,0.066294,-0.038030,-0.038669,0.102628,0.077448,0
449982,0.647642,-0.326408,-0.611644,-0.316084,0.192583,-0.001028,0.026245,-0.047282,0.104429,0.074944,0
466648,0.647540,-0.326461,-0.611793,-0.315950,0.150458,0.028144,-0.024520,-0.057633,0.105677,0.071003,0
483314,0.647410,-0.326526,-0.611956,-0.315834,0.177274,0.016072,-0.032514,-0.066583,0.107221,0.067879,0
499980,0.647257,-0.326599,-0.612130,-0.315734,0.233555,-0.250222,-0.063297,-0.068766,0.109710,0.065233,0
516646,0.647087,-0.326676,-0.612314,-0.315646,0.138157,-0.191771,-0.003332,-0.073356,0.109351,0.060607,0
533312,0.646906,-0.326755,-0.612504,-0.315567,0.340722,-0.029264,0.084180,-0.079831,0.114360,0.055043,0
549978,0.646720,-0.326831,-0.612698,-0.315494,0.016047,-0.299096,0.045808,-0.082868,0.113146,0.047112,0
566644,0.646533,-0.326901,-0.612894,-0.315422,0.126246,-0.270147,0.045457,-0.085000,0.113387,0.033620,0
583310,0.646353,-0.326963,-0.613089,-0.315349,0.064618,-0.351053,0.036592,-0.085888,0.112372,0.009120,0
599976,0.646185,-0.327012,-0.613280,-0.315272,0.185649,-0.429087,0.164663,-0.086305,0.114028,-0.015160,0
616642,0.646034,-0.327045,-0.613465,-0.315186,0.009211,-0.551011,0.066731,-0.083236,0.110527,-0.039001,0
633308,0.645907,-0.327058,-0.613642,-0.315090,0.275965,-0.733986,0.009842,-0.077042,0.110879,-0.057472,0
649974,0.645808,-0.327049,-0.613807,-0.314979,0.075541,-0.728286,0.010174,-0.067083,0.103127,-0.068542,0
666640,0.645727,-0.327036,-0.613956,-0.314869,0.350235,-0.580255,-0.038994,-0.057398,0.098745,-0.073005,0
683306,0.645647,-0.327037,-0.614088,-0.314773,0.305898,-0.465197,-0.052032,-0.049558,0.089995,-0.057991,0
699972,0.645574,-0.327042,-0.614207,-0.314687,0.502621,-0.327181,0.020050,-0.042672,0.084413,-0.036711,0
716638,0.645509,-0.327043,-0.614319,-0.314602,0.271804,-0.095656,0.022959,-0.040819,0.073797,-0.013252,0
733304,0.645456,-0.327031,-0.614426,-0.314512,0.285423,-0.182498,0.020350,-0.037597,0.063974,0.017783,0
749970,0.645418,-0.326998,-0.614535,-0.314412,0.341360,-0.139518,0.083555,-0.033817,0.056375,0.048724,0
766636,0.645398,-0.326936,-0.614650,-0.314294,0.317002,-0.130943,0.140967,-0.030668,0.047707,0.085610,0
783302,0.645399,-0.326836,-0.614775,-0.314152,0.349561,-0.223572,0.068533,-0.025032,0.038842,0.129988,0
799968,0.645424,-0.326689,-0.614914,-0.313980,0.391657,0.061989,0.099445,-0.025876,0.030304,0.180336,0
816634,0.645476,-0.326487,-0.615073,-0.313771,0.481171,0.084432,0.105279,-0.027934,0.021791,0.237514,0
833300,0.645559,-0.326221,-0.615256,-0.313518,0.493068,0.123382,0.114065,-0.030141,0.015280,0.289119,0
849966,0.645675,-0.325883,-0.615467,-0.313216,0.406732,-0.069775,-0.027974,-0.029643,0.005219,0.335952,0
866632,0.645838,-0.325452,-0.615713,-0.312846,0.356325,-0.002468,-0.021727,-0.030444,-0.004757,0.383612,0
883298,0.646051,-0.324924,-0.615994,-0.312401,0.341451,-0.052644,-0.077625,-0.030614,-0.013937,0.421478,0
899964,0.646306,-0.324315,-0.616302,-0.311896,0.197195,-0.062638,-0.128481,-0.032115,-0.023722,0.450485,0
916630,0.646594,-0.323643,-0.616631,-0.311347,0.271718,-0.202122,-0.064255,-0.032926,-0.032428,0.475500,0
933296,0.646906,-0.322924,-0.616974,-0.310767,0.428447,-0.456450,-0.058078,-0.029880,-0.036439,0.489287,0
949962,0.647231,-0.322175,-0.617325,-0.310170,0.126118,-0.113725,-0.035276,-0.033801,-0.042978,0.490461,0
966628,0.647562,-0.321412,-0.617676,-0.309572,0.184694,-0.272409,0.038114,-0.037162,-0.046819,0.481828,0
983294,0.647889,-0.320652,-0.618021,-0.308986,0.193771,-0.306472,0.098122,-0.038768,-0.048349,0.463614,0
999960,0.648203,-0.319912,-0.618354,-0.308428,0.288074,-0.156917,0.112003,-0.042457,-0.048247,0.447260,0
1016626,0.648496,-0.319209,-0.618668,-0.307911,0.217185,-0.343280,0.142445,-0.040720,-0.048505,0.429887,0
1033292,0.648758,-0.318559,-0.618956,-0.307451,-0.002001,-0.213135,0.139882,-0.041363,-0.051943,0.410462,0
1049958,0.648981,-0.317980,-0.619213,-0.307062,0.143137,-0.260340,0.135369,-0.039787,-0.053523,0.388875,0
1066624,0.649167,-0.317473,-0.619436,-0.306745,0.300225,-0.008226,0.302011,-0.044039,-0.049995,0.362771,0
1083290,0.649326,-0.317022,-0.619630,-0.306482,-0.013565,-0.245194,0.197957,-0.044578,-0.053859,0.334470,0
1099956,0.649464,-0.316614,-0.619800,-0.306267,-0.060525,-0.097791,0.207639,-0.046647,-0.056471,0.306339,0
1116622,0.649585,-0.316239,-0.619954,-0.306088,0.103447,-0.189701,0.150731,-0.047029,-0.056873,0.278369,0
1133288,0.649695,-0.315883,-0.620095,-0.305936,0.087161,-0.295742,0.143332,-0.046802,-0.058885,0.252894,0
1149954,0.649797,-0.315537,-0.620230,-0.305803,0.082156,-0.135406,0.091139,-0.048726,-0.061138,0.226994,0
1166620,0.649896,-0.315186,-0.620365,-0.305679,0.094731,-0.366335,0.070451,-0.045848,-0.063173,0.201523,0
1183286,0.649997,-0.314821,-0.620506,-0.305555,0.113613,-0.303939,-0.030529,-0.045624,-0.064675,0.176594,0
