SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status
0,1.000000,-0.000000,0.000000,-0.000000,,,,,,,0
16666,0.999187,-0.040322,0.000000,-0.000000,,,,,,,0
33332,0.999187,-0.040322,0.000000,-0.000000,,,,,,,0
49998,0.876688,-0.015568,0.021522,0.480325,-0.004035,0.034092,0.004729,0.001721,-0.008268,-0.014624,0
66664,0.876693,-0.015566,0.021528,0.480316,-0.009258,-0.015304,0.068032,0.002870,-0.008117,-0.013050,0
83330,0.876698,-0.015566,0.021533,0.480307,0.053564,-0.026693,0.011947,0.003388,-0.007368,-0.007656,0
99996,0.876703,-0.015567,0.021539,0.480297,-0.102533,0.074407,0.051659,0.001772,-0.008081,-0.003467,0
116662,0.876709,-0.015567,0.021545,0.480287,-0.009180,-0.101091,0.009997,0.004114,-0.007452,-0.002023,0
133328,0.876714,-0.015568,0.021551,0.480277,-0.084689,0.076322,-0.003570,0.003143,-0.008059,-0.000993,0
149994,0.876719,-0.015569,0.021556,0.480267,0.061146,0.067135,0.011614,0.002199,-0.005962,-0.001792,0
166660,0.876724,-0.015568,0.021562,0.480258,-0.145306,0.100827,0.051418,0.001458,-0.007073,-0.004722,0
183326,0.876729,-0.015567,0.021568,0.480249,-0.089247,0.079468,0.063232,0.001274,-0.006249,-0.006819,0
199992,0.876733,-0.015564,0.021573,0.480242,0.012380,-0.006954,0.060210,0.000672,-0.004968,-0.007212,0
216658,0.876736,-0.015559,0.021579,0.480236,-0.179900,0.066680,-0.027331,-0.000325,-0.010575,-0.007582,0
233324,0.876738,-0.015551,0.021584,0.480231,-0.100530,0.116365,-0.010705,-0.002098,-0.011978,-0.009557,0
249990,0.876740,-0.015541,0.021589,0.480229,-0.049367,-0.004794,0.001782,-0.002316,-0.010721,-0.008003,0
266656,0.876740,-0.015528,0.021594,0.480228,-0.073067,0.099602,-0.061952,-0.003383,-0.011286,-0.009747,0
283322,0.876740,-0.015512,0.021599,0.480228,0.003381,0.026997,0.007670,-0.003455,-0.010620,-0.007866,0
299988,0.876740,-0.015494,0.021603,0.480229,-0.036794,0.024673,0.011146,-0.002575,-0.009673,-0.007922,0
316654,0.876739,-0.015475,0.021607,0.480232,-0.051698,-0.010159,0.013038,-0.000421,-0.009308,-0.008934,0
333320,0.876737,-0.015453,0.021612,0.480235,-0.051748,0.025614,0.008733,-0.000036,-0.008468,-0.006131,0
349986,0.876735,-0.015431,0.021616,0.480239,0.028316,-0.034507,0.077415,0.001698,-0.006855,-0.004419,0
