frame_index,T8_orientation_w,T8_orientation_x,T8_orientation_y,T8_orientation_z,T8_angularVelocity_x,T8_angularVelocity_y,T8_angularVelocity_z,T8_acceleration_x,T8_acceleration_y,T8_acceleration_z
52,0.893565,-0.004849,0.004154,-0.448889,-0.029243,-0.01474,0.034873,-0.061672,0.134787,0.013863
53,0.893588,-0.004886,0.004108,-0.448842,-0.023504,-0.018195,0.033949,-0.084167,0.07219,-0.053693
54,0.893612,-0.00492,0.004066,-0.448794,-0.019897,-0.021208,0.030104,0.028232,0.121959,-0.096338
55,0.893636,-0.004951,0.004027,-0.448746,-0.01886,-0.021973,0.027571,-0.034616,0.156774,-0.103932
56,0.89366,-0.004977,0.003991,-0.448699,-0.021134,-0.023145,0.026315,-0.127245,0.077168,-0.144454
57,0.893683,-0.004998,0.003959,-0.448653,-0.01849,-0.024202,0.025916,0.018254,0.095231,-0.000723
58,0.893705,-0.005012,0.00393,-0.44861,-0.013437,-0.023328,0.022097,-0.02438,0.233754,0.104242
59,0.893726,-0.005019,0.003903,-0.448569,-0.014698,-0.024773,0.021605,-0.016647,-0.00954,-0.020629
60,0.893744,-0.005017,0.003879,-0.448532,-0.014619,-0.023721,0.019347,-0.014378,0.044459,0.057043
61,0.893762,-0.005008,0.003858,-0.448497,-0.013657,-0.025341,0.018809,-0.068014,0.00704,-0.053028
62,0.893779,-0.004991,0.003839,-0.448463,-0.010494,-0.02484,0.016781,-0.055174,0.159034,0.134209
63,0.893796,-0.004969,0.003823,-0.44843,-0.008628,-0.022267,0.016156,-0.202369,0.020348,0.091905
64,0.893812,-0.004941,0.00381,-0.448399,0.000145,-0.021101,0.018379,-0.198856,0.111617,0.233819
65,0.893827,-0.004907,0.0038,-0.448369,0.003273,-0.016354,0.020627,-0.238346,-0.009582,0.1155
66,0.893842,-0.004868,0.003794,-0.44834,0.013199,-0.011379,0.022815,-0.240383,0.101403,0.28391
67,0.893855,-0.004824,0.003791,-0.448314,0.023496,-0.009744,0.021988,-0.144278,0.213357,0.115438
68,0.893868,-0.004775,0.003792,-0.448289,0.030873,-0.007594,0.021155,-0.058861,0.128156,0.042318
69,0.89388,-0.004723,0.003797,-0.448266,0.037901,-0.002125,0.018541,-0.094488,0.194749,0.059999
70,0.89389,-0.004666,0.003805,-0.448246,0.046096,-0.004593,0.018427,-0.001096,0.127426,-0.022146
71,0.893899,-0.004606,0.003818,-0.448228,0.050961,-0.000519,0.015871,-0.092201,0.186594,0.029674
72,0.893907,-0.004543,0.003836,-0.448213,0.053062,-0.000206,0.015405,-0.057269,0.174999,-0.139477
73,0.893914,-0.004476,0.003859,-0.4482,0.056699,0.004547,0.013876,-0.07822,0.178944,0.01362
74,0.893919,-0.004404,0.003889,-0.448191,0.056182,0.007124,0.013417,-0.156247,0.118103,-0.032917
75,0.893922,-0.004326,0.003925,-0.448184,0.052061,0.003956,0.012071,0.027508,-0.033012,-0.203599
76,0.893925,-0.004244,0.003965,-0.44818,0.050227,0.00204,0.011868,-0.001469,-0.04564,-0.172556
77,0.893926,-0.004158,0.00401,-0.448177,0.047847,0.003064,0.008631,-0.019645,0.070073,-0.119203
78,0.893927,-0.004068,0.004057,-0.448177,0.048121,0.004064,0.009951,-0.148739,0.058381,-0.007976
79,0.893926,-0.003975,0.004106,-0.448178,0.051453,0.006639,0.005492,0.029292,0.115676,0.034994
80,0.893925,-0.003878,0.004157,-0.44818,0.055287,0.002561,0.001903,0.146092,0.167928,-0.026499
81,0.893924,-0.003779,0.004208,-0.448183,0.055759,0.002224,-0.001463,0.055833,0.037706,-0.005671
82,0.893922,-0.003677,0.004258,-0.448187,0.06065,0.001797,-0.007426,0.18884,0.159088,0.0534
83,0.89392,-0.003574,0.004306,-0.448192,0.068878,0.002704,-0.009068,0.043466,0.162234,0.20622
84,0.893918,-0.003469,0.004353,-0.448197,0.072758,0.000463,-0.00982,0.122105,0.106769,0.043982
85,0.893915,-0.00336,0.004398,-0.448203,0.078917,0.000802,-0.010825,0.012165,0.156422,0.111293
86,0.89391,-0.003246,0.004446,-0.448212,0.079095,0.002994,-0.007096,-0.083122,0.004705,0.000779
87,0.893905,-0.003127,0.004496,-0.448223,0.082663,0.00354,-0.005596,-0.00839,0.111199,-0.028805
88,0.893899,-0.003004,0.004546,-0.448235,0.080472,-0.000609,-0.004193,0.075528,0.008798,-0.172573
89,0.893892,-0.002878,0.004597,-0.448249,0.081112,-0.001032,-0.003122,0.00441,0.089287,0.01165
90,0.893886,-0.002751,0.004648,-0.448263,0.079636,-0.002581,-0.004059,0.072026,-0.019876,0.008079
91,0.893879,-0.002623,0.004697,-0.448277,0.073259,-0.007829,-0.002277,0.065373,-0.148213,-0.178659
92,0.893872,-0.002496,0.004744,-0.44829,0.069719,-0.014526,-0.006169,0.226292,0.001379,-0.136135
93,0.893866,-0.00237,0.00479,-0.448302,0.068327,-0.018339,-0.00772,0.054311,-0.009446,0.015353
94,0.893861,-0.002246,0.004832,-0.448313,0.064337,-0.022381,-0.010178,0.099007,-0.063357,-0.099305
95,0.893857,-0.002125,0.004871,-0.448321,0.064061,-0.022246,-0.012346,-0.000288,0.031216,0.032786
96,0.893854,-0.002009,0.004906,-0.448327,0.061227,-0.025151,-0.007082,-0.151172,-0.11657,-0.037532
97,0.893853,-0.001897,0.004936,-0.448329,0.055139,-0.024149,-0.003915,-0.193344,-0.190699,-0.093434
98,0.893853,-0.001789,0.004961,-0.448329,0.053912,-0.021585,0.002591,-0.324475,-0.133283,0.018539
99,0.893854,-0.001684,0.004983,-0.448328,0.053728,-0.019427,0.004719,-0.205485,-0.048086,0.118343
100,0.893855,-0.00158,0.005002,-0.448324,0.05236,-0.019107,0.004571,-0.027039,-0.063054,0.044044
