SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status
0,1.000000,-0.000000,0.000000,-0.000000,,,,,,,0
16666,0.999712,-0.023989,0.000000,-0.000000,,,,,,,0
33332,0.999712,-0.023989,0.000000,-0.000000,,,,,,,0
49998,0.633661,-0.072319,-0.092843,-0.764607,0.177776,-0.155021,-0.045858,-0.006455,-0.001924,-0.006621,0
66664,0.633415,-0.072185,-0.092925,-0.764814,-0.042289,-0.048247,-0.073799,-0.008017,-0.004240,-0.008141,0
83330,0.633161,-0.072048,-0.093008,-0.765027,0.540322,-0.186018,-0.038025,-0.006674,0.000469,-0.014268,0
99996,0.632902,-0.071910,-0.093094,-0.765243,0.146431,-0.187734,-0.078913,-0.004970,0.001245,-0.016420,0
116662,0.632641,-0.071772,-0.093180,-0.765462,0.300427,-0.094552,-0.008440,-0.003797,0.003641,-0.022821,0
133328,0.632380,-0.071633,-0.093267,-0.765680,0.061904,-0.005882,-0.106021,-0.003789,0.003414,-0.028188,0
149994,0.632121,-0.071495,-0.093352,-0.765896,-0.018846,0.160151,-0.096919,-0.004914,0.000959,-0.036508,0
166660,0.631867,-0.071358,-0.093436,-0.766109,0.061394,0.505714,-0.130229,-0.011571,0.001203,-0.035795,0
183326,0.631620,-0.071224,-0.093517,-0.766315,-0.155021,-0.016301,-0.083002,-0.010218,-0.002016,-0.040035,0
199992,0.631382,-0.071093,-0.093595,-0.766513,-0.154432,0.241320,-0.072858,-0.011353,-0.006255,-0.047375,0
216658,0.631156,-0.070967,-0.093669,-0.766702,0.194663,0.128234,-0.055037,-0.011337,-0.004801,-0.052381,0
233324,0.630945,-0.070845,-0.093738,-0.766878,-0.034192,0.345132,-0.112639,-0.015150,-0.006433,-0.058256,0
249990,0.630751,-0.070729,-0.093801,-0.767041,0.267030,0.002967,0.020823,-0.013675,-0.004594,-0.062465,0
266656,0.630573,-0.070618,-0.093859,-0.767190,-0.045936,-0.142417,-0.016494,-0.011241,-0.006579,-0.059830,0
283322,0.630410,-0.070511,-0.093915,-0.767328,0.365396,-0.116586,0.009670,-0.010376,-0.001502,-0.055528,0
299988,0.630258,-0.070408,-0.093967,-0.767455,0.349308,-0.101282,0.048798,-0.009872,0.002323,-0.052437,0
316654,0.630118,-0.070308,-0.094016,-0.767573,0.150470,-0.329105,-0.014187,-0.006040,0.003211,-0.049518,0
333320,0.629988,-0.070211,-0.094061,-0.767684,-0.070530,-0.147648,-0.097897,-0.005699,0.003451,-0.041807,0
349986,0.629865,-0.070117,-0.094104,-0.767788,-0.215252,-0.040868,-0.106871,-0.006962,0.000416,-0.032186,0
